mltype	description	bettype	kumiban	betcount_daily	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	totalrate	pattern_cnt_avg	hitamt_bias_rate	hit_bet_slope_rate	minus_days	plus_days	minus_changed_count	plus_changed_count	minus_days_rate	incomeamtslpoe_percent	recoverplus_percent	betcnt_percent	hitrate_percent	incomerate_percent	minus_days_percent	linear_incomeamt_slope	recover_success_rate	recover_fail_rate	recover_plus_rate	recover_minus_rate	condition	hitamt_sum_under	hitamt_sum_over	hitamt_mod	hitamt_percent	range_oddsrank	range_odds	range_totalrate	range_hitrate	range_incomerate	range_biasrate	range_minusdaysrate	max_minuschangedcount	range_betcntlimit	isfinal	iscustom	updatetime
depth1	204_1T_1-3	1T	1	28.34	3996	2806	399600	379600	-20000	70.22	94.99	0	1.32	0.37	0	3987	9	4	3	1	1	1	1	0.5	0.3	1	-0.00445	0	0.17	0.02	0.01	1.00_1.00_1.00_0.50_0.30_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	277520	102080	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:29:24.873
depth1	204_1T_1-3	1T	1	33.77	4761	3318	476100	448600	-27500	69.69	94.22	0	1.42	0.37	0	4761	0	0	0	1	1	1	1	0.5	0.4	1	-0.00621	0	0.18	0.02	0	1.00_1.00_1.00_0.50_0.40_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	328080	120520	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:29:29.768
depth1	204_1T_1-3	1T	1	38.42	5417	3765	541700	508860	-32840	69.5	93.94	0	1.56	0.36	0	5414	3	3	3	1	1	1	1	0.5	0.5	1	-0.00736	0	0.17	0.02	0.01	1.00_1.00_1.00_0.50_0.50_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	373120	135740	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:29:34.817
depth1	204_1T_1-3	1T	1	41.91	5909	4102	590900	554910	-35990	69.42	93.91	0	1.67	0.36	0	5877	32	6	6	0.99	1	1	1	0.5	0.6	1	-0.00797	0	0.17	0.02	0.01	1.00_1.00_1.00_0.50_0.60_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	406760	148150	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:29:40.071
depth1	204_1T_1-3	1T	1	44.48	6272	4357	627200	588240	-38960	69.47	93.79	0	1.77	0.45	0	6217	55	7	7	0.99	1	1	1	0.5	0.7	1	-0.00857	0	0.19	0.01	0	1.00_1.00_1.00_0.50_0.70_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	404960	183280	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:29:45.482
depth1	204_1T_1-3	1T	1	46.21	6515	4531	651500	612180	-39320	69.55	93.96	0	1.86	0.45	0	6511	4	2	2	1	1	1	1	0.5	0.8	1	-0.00878	0	0.19	0.01	0	1.00_1.00_1.00_0.50_0.80_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	421990	190190	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:29:51.070
depth1	204_1T_1-3	1T	1	47.83	6744	4681	674400	632800	-41600	69.41	93.83	0	1.93	0.45	0	6740	4	2	2	1	1	1	1	0.5	0.9	1	-0.00937	0	0.19	0.01	0	1.00_1.00_1.00_0.50_0.90_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	435900	196900	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:29:56.797
depth1	204_1T_1-3	1T	1	48.88	6892	4785	689200	646190	-43010	69.43	93.76	0	2	0.45	0	6888	4	2	2	1	1	1	1	0.5	1	1	-0.0097	0	0.19	0.01	0	1.00_1.00_1.00_0.50_1.00_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	446470	199720	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:02.770
depth1	204_1T_1-3	1T	1	11.91	1680	1191	168000	162050	-5950	70.89	96.46	0	1.11	0.46	0	1650	30	10	9	0.98	1	1	1	0.6	0.1	1	-0.00136	0	0.14	0.05	0.02	1.00_1.00_1.00_0.60_0.10_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	111280	50770	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:07.456
depth1	204_1T_1-3	1T	1	22.93	3233	2290	323300	309670	-13630	70.83	95.78	0	1.22	0.45	0	3185	48	9	8	0.99	1	1	1	0.6	0.2	1	-0.0035	0	0.17	0.03	0.01	1.00_1.00_1.00_0.60_0.20_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	212890	96780	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:11.993
depth1	204_1T_1-3	1T	1	30.43	4291	3009	429100	409810	-19290	70.12	95.5	0	1.36	0.38	0	4259	32	9	8	0.99	1	1	1	0.6	0.3	1	-0.00452	0	0.17	0.02	0.01	1.00_1.00_1.00_0.60_0.30_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	297110	112700	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:16.766
depth1	204_1T_1-3	1T	1	36.32	5121	3570	512100	486350	-25750	69.71	94.97	0	1.49	0.38	0	5121	0	0	0	1	1	1	1	0.6	0.4	1	-0.00583	0	0.18	0.02	0	1.00_1.00_1.00_0.60_0.40_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	352240	134110	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:21.901
depth1	204_1T_1-3	1T	1	40.99	5779	4009	577900	545430	-32470	69.37	94.38	0	1.64	0.38	0	5779	0	0	0	1	1	1	1	0.6	0.5	1	-0.00735	0	0.18	0.02	0.01	1.00_1.00_1.00_0.60_0.50_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	396350	149080	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:27.234
depth1	204_1T_1-3	1T	1	44.55	6281	4361	628100	593860	-34240	69.43	94.55	0	1.79	0.38	0	6267	14	6	6	1	1	1	1	0.6	0.6	1	-0.00748	0	0.17	0.02	0.01	1.00_1.00_1.00_0.60_0.60_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	431550	162310	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:32.680
depth1	204_1T_1-3	1T	1	47.32	6672	4641	667200	631860	-35340	69.56	94.7	0	1.92	0.38	0	6623	49	8	8	0.99	1	1	1	0.6	0.7	1	-0.00776	0	0.19	0.01	0	1.00_1.00_1.00_0.60_0.70_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	459310	172550	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:38.398
depth1	204_1T_1-3	1T	1	48.93	6899	4804	689900	653420	-36480	69.63	94.71	0	2.05	0.37	0	6891	8	4	4	1	1	1	1	0.6	0.8	1	-0.008	0	0.2	0.01	0	1.00_1.00_1.00_0.60_0.80_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	476860	176560	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:44.327
depth1	204_1T_1-3	1T	1	50.5	7120	4949	712000	673460	-38540	69.51	94.59	0	2.16	0.37	0	7112	8	5	5	1	1	1	1	0.6	0.9	1	-0.0085	0	0.2	0	0	1.00_1.00_1.00_0.60_0.90_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	492050	181410	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:50.768
depth1	204_1T_1-3	1T	1	51.43	7252	5038	725200	684660	-40540	69.47	94.41	0	2.26	0.37	0	7223	29	7	7	1	1	1	1	0.6	1	1	-0.00902	0	0.2	0	0	1.00_1.00_1.00_0.60_1.00_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	501110	183550	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:30:57.667
depth1	204_1T_1-3	1T	1	12.45	1755	1245	175500	169330	-6170	70.94	96.48	0	1.11	0.46	0	1742	13	9	8	0.99	1	1	1	0.7	0.1	1	-0.00131	0	0.14	0.06	0.02	1.00_1.00_1.00_0.70_0.10_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	115910	53420	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:03.230
depth1	204_1T_1-3	1T	1	24.01	3386	2392	338600	325900	-12700	70.64	96.25	0	1.24	0.37	0	3361	25	6	5	0.99	1	1	1	0.7	0.2	1	-0.00304	0	0.16	0.04	0.01	1.00_1.00_1.00_0.70_0.20_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	237300	88600	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:09.389
depth1	204_1T_1-3	1T	1	32.04	4518	3158	451800	431860	-19940	69.9	95.59	0	1.39	0.38	0	4505	13	3	2	1	1	1	1	0.7	0.3	1	-0.00452	0	0.16	0.03	0.01	1.00_1.00_1.00_0.70_0.30_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	312180	119680	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:15.458
depth1	204_1T_1-3	1T	1	38.16	5380	3740	538000	511500	-26500	69.52	95.07	0	1.53	0.38	0	5380	0	0	0	1	1	1	1	0.7	0.4	1	-0.0059	0	0.18	0.02	0	1.00_1.00_1.00_0.70_0.40_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	369800	141700	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:21.815
depth1	204_1T_1-3	1T	1	42.8	6035	4184	603500	571620	-31880	69.33	94.72	0	1.71	0.38	0	6035	0	0	0	1	1	1	1	0.7	0.5	1	-0.00717	0	0.18	0.02	0.01	1.00_1.00_1.00_0.70_0.50_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	414430	157190	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:29.575
depth1	204_1T_1-3	1T	1	46.24	6520	4524	652000	616850	-35150	69.39	94.61	0	1.89	0.38	0	6465	55	10	10	0.99	1	1	1	0.7	0.6	1	-0.00775	0	0.18	0.02	0.01	1.00_1.00_1.00_0.70_0.60_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	448580	168270	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:36.590
depth1	204_1T_1-3	1T	1	49.13	6927	4810	692700	655350	-37350	69.44	94.61	0	2.06	0.37	0	6923	4	1	1	1	1	1	1	0.7	0.7	1	-0.00818	0	0.2	0.01	0	1.00_1.00_1.00_0.70_0.70_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	477040	178310	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:44.314
depth1	204_1T_1-3	1T	1	50.79	7162	4979	716200	677720	-38480	69.52	94.63	0	2.23	0.37	0	7162	0	0	0	1	1	1	1	0.7	0.8	1	-0.00843	0	0.2	0.01	0	1.00_1.00_1.00_0.70_0.80_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	494920	182800	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:51.636
depth1	204_1T_1-3	1T	1	52.24	7366	5112	736600	696110	-40490	69.4	94.5	0	2.39	0.37	0	7366	0	0	0	1	1	1	1	0.7	0.9	1	-0.00891	0	0.2	0	0	1.00_1.00_1.00_0.70_0.90_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	508400	187710	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:31:59.180
depth1	204_1T_1-3	1T	1	52.96	7468	5178	746800	704330	-42470	69.34	94.31	0	2.53	0.37	0	7468	0	0	0	1	1	1	1	0.7	1	1	-0.0094	0	0.21	0	0	1.00_1.00_1.00_0.70_1.00_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	515300	189030	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:06.619
depth1	204_1T_1-3	1T	1	13.48	1901	1350	190100	183840	-6260	71.02	96.71	0	1.12	0.38	0	1786	115	7	6	0.94	1	1	1	0.8	0.1	1	-0.00149	0	0.14	0.05	0.02	1.00_1.00_1.00_0.80_0.10_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	133030	50810	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:13.054
depth1	204_1T_1-3	1T	1	25.5	3596	2536	359600	345540	-14060	70.52	96.09	0	1.26	0.37	0	3416	180	12	11	0.95	1	1	1	0.8	0.2	1	-0.00345	0	0.16	0.04	0.01	1.00_1.00_1.00_0.80_0.20_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	251480	94060	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:19.663
depth1	204_1T_1-3	1T	1	33.65	4744	3313	474400	452740	-21660	69.84	95.43	0	1.42	0.38	0	4616	128	15	14	0.97	1	1	1	0.8	0.3	1	-0.00503	0	0.17	0.02	0.01	1.00_1.00_1.00_0.80_0.30_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	327250	125490	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:25.952
depth1	204_1T_1-3	1T	1	39.76	5606	3892	560600	531940	-28660	69.43	94.89	0	1.58	0.38	0	5604	2	1	1	1	1	1	1	0.8	0.4	1	-0.00645	0	0.18	0.02	0.01	1.00_1.00_1.00_0.80_0.40_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	384580	147360	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:32.247
depth1	204_1T_1-3	1T	1	44.43	6264	4338	626400	592730	-33670	69.25	94.62	0	1.78	0.38	0	6046	218	6	6	0.97	1	1	1	0.8	0.5	1	-0.00771	0	0.17	0.03	0.01	1.00_1.00_1.00_0.80_0.50_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	429070	163660	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:38.884
depth1	204_1T_1-3	1T	1	47.84	6746	4686	674600	639410	-35190	69.46	94.78	0	1.99	0.38	0	6316	430	9	9	0.94	1	1	1	0.8	0.6	1	-0.00784	0	0.17	0.03	0.01	1.00_1.00_1.00_0.80_0.60_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	463710	175700	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:45.776
depth1	204_1T_1-3	1T	1	4.07	574	410	57400	53950	-3450	71.43	93.99	0	1.04	0.34	0	290	284	6	5	0.51	1	1	1	0.1	0.1	1	-0.00074	0.01	0.11	0.08	0.02	1.00_1.00_1.00_0.10_0.10_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	40350	13600	100	150	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:26:07.996
depth1	204_1T_1-3	1T	1	50.52	7124	4955	712400	675500	-36900	69.55	94.82	0	2.2	0.38	0	6923	201	9	9	0.97	1	1	1	0.8	0.7	1	-0.00824	0	0.19	0.02	0	1.00_1.00_1.00_0.80_0.70_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	490800	184700	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:32:53.022
depth1	204_1T_1-3	1T	1	52.13	7351	5109	735100	695770	-39330	69.5	94.65	0	2.41	0.37	0	7212	139	9	9	0.98	1	1	1	0.8	0.8	1	-0.00879	0	0.19	0.01	0	1.00_1.00_1.00_0.80_0.80_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	507180	188590	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:33:00.715
depth1	204_1T_1-3	1T	1	53.36	7524	5217	752400	711140	-41260	69.34	94.52	0	2.62	0.37	0	7468	56	6	6	0.99	1	1	1	0.8	0.9	1	-0.00924	0	0.2	0.01	0	1.00_1.00_1.00_0.80_0.90_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	517970	193170	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:33:08.440
depth1	204_1T_1-3	1T	1	54.04	7619	5277	761900	718700	-43200	69.26	94.33	0	2.81	0.37	0	7592	27	3	3	1	1	1	1	0.8	1	1	-0.00966	0	0.2	0	0	1.00_1.00_1.00_0.80_1.00_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	524240	194460	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:33:16.173
depth1	204_1T_1-3	1T	1	14.13	1992	1408	199200	192070	-7130	70.68	96.42	0	1.12	0.38	0	1882	110	6	5	0.94	1	1	1	0.9	0.1	1	-0.00166	0.01	0.15	0.04	0.01	1.00_1.00_1.00_0.90_0.10_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	138700	53370	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:33:22.333
depth1	204_1T_1-3	1T	1	26.32	3711	2615	371100	357150	-13950	70.47	96.24	0	1.28	0.38	0	3649	62	6	5	0.98	1	1	1	0.9	0.2	1	-0.00341	0	0.16	0.04	0.01	1.00_1.00_1.00_0.90_0.20_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	258570	98580	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:33:29.234
depth1	204_1T_1-3	1T	1	34.69	4891	3415	489100	467540	-21560	69.82	95.59	0	1.45	0.39	0	4798	93	5	4	0.98	1	1	1	0.9	0.3	1	-0.00504	0	0.17	0.02	0.01	1.00_1.00_1.00_0.90_0.30_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	336580	130960	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:33:35.705
depth1	204_1T_1-3	1T	1	40.86	5761	4004	576100	547700	-28400	69.5	95.07	0	1.62	0.39	0	5761	0	0	0	1	1	1	1	0.9	0.4	1	-0.00643	0	0.17	0.02	0.01	1.00_1.00_1.00_0.90_0.40_1.00_1~100_1.00~100.00_0.00~100.00_0.00~100.00_90.00~10000.00_0.00~100.00_0.00~100.00_10000_1~100000	395180	152520	100	160	"{1,100}"	"{1.00,100.00}"	"{0.00,100.00}"	"{0.00,100.00}"	"{90.00,10000.00}"	"{0.00,100.00}"	"{0.00,100.00}"	10000	"{1,100000}"	n	1	2019/08/09 3:33:42.111
